country,year,HAE
ESP,2011,0.3071571368854442
ESP,2012,0.1114576041184928
ESP,2013,0.3924338888450956
ESP,2014,0.38002413806998886
ESP,2015,0.4531820840308287
ESP,2016,0.564978782168675
ESP,2017,0.4160774822127477
ESP,2018,0.49457789790321227
ESP,2019,0.33782047767232476
ESP,2020,0.4857051220109287
ESP,2021,0.5285917489170653
ESP,2022,0.6266271845062765
EST,2009,1.0
EST,2010,1.0
EST,2011,0.7124403834882946
EST,2012,0.8804213408631445
EST,2013,0.5105706387106361
EST,2014,0.7190996022145622
EST,2015,0.3690780285327093
EST,2016,0.35056106996711234
EST,2017,0.5791526659777967
EST,2018,0.31782196530124107
EST,2019,1.0
EST,2020,0.8823829348491621
EST,2021,1.0
EST,2022,0.6290717648052554
ETH,2009,
ETH,2010,
ETH,2011,
ETH,2012,
ETH,2013,
ETH,2014,
ETH,2015,
ETH,2016,
ETH,2017,
ETH,2018,
ETH,2019,
ETH,2020,
ETH,2021,
ETH,2022,
FIN,2009,0.33485540938971475
FIN,2010,0.7271970597783011
FIN,2011,0.23161730754393148
FIN,2012,0.3445260880520298
FIN,2013,0.3022537301635491
FIN,2014,0.430835290807629
FIN,2015,0.5151705465501787
FIN,2016,0.7162321331240119
FIN,2017,0.8067836150785554
FIN,2018,0.3365446259882501
FIN,2019,0.5742157314306061
FIN,2020,0.2006873141375996
FIN,2021,0.9898547344892367
FIN,2022,0.8357993128880042
FJI,2009,0.7240454894784123
FJI,2010,0.390533646114649
FJI,2011,0.3851760254449487
FJI,2012,0.4687182645347333
FJI,2013,0.3950249536216335
FJI,2014,0.5712859757679721
FJI,2015,0.34072298245134414
FJI,2016,0.5517709537420553
FJI,2017,0.4847268972114919
FJI,2018,0.5643623560007475
FJI,2019,0.44709533547221386
FJI,2020,0.3987096605386647
FJI,2021,0.7086811497372485
FJI,2022,0.16105006092413235
FRA,2009,0.26453917305946123
FRA,2010,0.2807767302199351
FRA,2011,0.2524360367982192
FRA,2012,0.21110501606704618
FRA,2013,0.15586275717005893
FRA,2014,0.15535867698321162
FRA,2015,0.33407978907885066
FRA,2016,0.29265029422813
FRA,2017,0.23804646877105956
FRA,2018,0.5210566879758936
FRA,2019,0.33833723098010293
FRA,2020,0.1211150527963959
FRA,2021,0.48594226043730565
FRA,2022,0.5135448911401842
FSM,2009,
FSM,2010,
FSM,2011,
FSM,2012,
FSM,2013,
FSM,2014,0.43715611814345995
FSM,2015,
FSM,2016,
FSM,2017,
FSM,2018,
FSM,2019,
FSM,2020,
FSM,2021,
FSM,2022,
GAB,2009,0.4838457054140976
GAB,2010,0.41796101709688144
GAB,2011,0.4206213627940962
GAB,2012,0.6165876696742477
GAB,2013,0.2122948908825247
GAB,2014,0.6384133221190593
GAB,2015,0.026958565225620422
GAB,2016,0.612744935301928
GAB,2017,0.6241510663105013
GAB,2018,0.5699378453687898
GAB,2019,0.6269518623948862
GAB,2020,
GAB,2021,
GAB,2022,
GBR,2009,0.17273429971414042
GBR,2010,0.3234670584470612
GBR,2011,0.2687149445757415
