country,year,V,V_star,R
MNE,2020,0.4765890381884208,0.37724916757621696,0.41687853749137027
MNE,2021,0.5996833107369621,0.5091204122800819,0.302035747319984
MNE,2022,1.0,0.8778166558698113,0.24436668826037733
MNG,2009,0.44952198726987735,0.4213657721762867,0.12527180378692657
MNG,2010,0.4210484018664245,0.3934516652720666,0.13108581565457558
MNG,2011,0.42090591835636465,0.400326389343131,0.09778683603973364
MNG,2012,0.4136899468945163,0.3894028700666413,0.11741680942547911
MNG,2013,0.4320135817772123,0.41153172166511787,0.0948204453565388
MNG,2014,0.2181662805697814,0.20837794582049607,0.08973279210445632
MNG,2015,0.20651291179973127,0.1971309923822612,0.09086036641203643
MNG,2016,0.5622081417613172,0.5370947162566732,0.08933853368244456
MNG,2017,0.5585683041788834,0.5272667413236433,0.11207783406634411
MNG,2018,0.6039003505731007,0.5707385546139874,0.10982539065474248
MNG,2019,0.621590672735906,0.5858460849557086,0.1150100519458217
MNG,2020,0.6192903181748817,0.5787075485825869,0.13106218005118106
MNG,2021,0.6544836319071535,0.6176095784470055,0.11268136180181518
MNG,2022,0.5139000511487261,0.4894439940982373,0.09517826276071333
MOZ,2009,0.4225197679478701,0.367020383437946,0.2627066883969865
MOZ,2010,0.41204343305349855,0.35949080764261804,0.25508294123963016
MOZ,2011,0.4106148911329948,0.37341224860006667,0.18120454633428548
MOZ,2012,0.42409350214752745,0.3983413865032407,0.12144546197422518
MOZ,2013,0.42191981977708076,0.3918041988620968,0.14275518476897076
MOZ,2014,0.4190410741447691,0.3886827203079342,0.144894406348084
MOZ,2015,0.4182325181320907,0.3928646698544065,0.12130978428450305
MOZ,2016,0.41219264083755924,0.3850755113010528,0.13157502997339068
MOZ,2017,0.4422530568055166,0.39220828901997257,0.22631734033463796
MOZ,2018,0.4468601901844742,0.4159983701415055,0.1381274086207064
MOZ,2019,0.4487899749788346,0.40015919522168036,0.21671954574942423
MOZ,2020,0.4352464420908168,0.37850830485618125,0.2607172936880518
MOZ,2021,0.6108168539174356,0.5520025237667296,0.1925759899174486
MOZ,2022,1.0,0.9619190516826992,0.07616189663460166
MRT,2009,0.0,0.0,0.0
MRT,2010,0.23922890207568082,0.23922890207568082,0.0
MRT,2011,0.5714285714285714,0.5714285714285714,0.0
MRT,2012,0.40062514367197455,0.3786043425267718,0.10993219718247682
MRT,2013,0.4069265127525005,0.3830394760545505,0.11740221366445341
MRT,2014,0.40771732448768166,0.392358936554511,0.07533841223190259
MRT,2015,0.011565402598119456,0.010653412090154598,0.15771011864526857
MRT,2016,0.014115735474174466,0.012872121524990196,0.17620250130919946
MRT,2017,0.012818953139185157,0.011798479732140437,0.15921322060618534
MRT,2018,0.40976484920065764,0.3794226356707411,0.14809573631855513
MRT,2019,0.015787719885182943,0.014663567384256653,0.1424084679867327
MRT,2020,0.4089547272640176,0.36332655095786187,0.22314536678138744
MRT,2021,0.5874168865499185,0.5090964410416002,0.26666051760383863
MRT,2022,1.0,1.0,0.0
MUS,2009,0.3558207482966172,0.31210521437550076,0.24571660944670135
MUS,2010,0.5196316965423703,0.48890555577923295,0.11826122604756066
MUS,2011,0.4810075314439776,0.4380011775789261,0.17881779828248034
MUS,2012,0.5278026292784914,0.4773797564028088,0.1910671530553417
MUS,2013,0.3357131656737256,0.31136485034320627,0.14505427740169757
MUS,2014,0.3942377393576596,0.36615471025956753,0.14246748240718105
MUS,2015,0.2626400947048473,0.23887521753106652,0.1809691486784418
MUS,2016,0.3172536376817352,0.28575080892332916,0.19859711610310557
MUS,2017,0.38514313067184364,0.3481738679336154,0.19197674731333825
MUS,2018,0.3638087494469432,0.31930474297048617,0.24465605373214025
MUS,2019,0.33231328983518016,0.2889081412435006,0.2612302903275852
MUS,2020,0.1682171503446325,0.13913770073475773,0.34573703751726453
MUS,2021,0.27358783282382776,0.22572250792917228,0.34990828649516387
MUS,2022,0.8912505776138754,0.7976302787304824,0.21008749107134475
MWI,2009,0.025471899378461855,0.02534242154834334,0.01016632707241265
MWI,2010,0.1102275304651611,0.10798010486348734,0.040777936186896395
MWI,2011,0.5714285714285714,0.569031176886381,0.008390880897666037
MWI,2012,0.0,0.0,0.02689939304376952
MWI,2013,0.5568397759616439,0.5421077404202077,0.05291301439806242
MWI,2014,0.5714285714285714,0.5461607986087308,0.088437204869442
MWI,2015,0.297429462270688,0.2779476722429473,0.1310010775597642
MWI,2016,0.12483862796614313,0.1168820468457677,0.12746985848856496
MWI,2017,0.06342570501103388,0.05923620106171333,0.13210744598240481
MWI,2018,0.12743845210845872,0.11991120741290795,0.11813145202273141
MWI,2019,0.044841662869018285,0.042069732751612514,0.1236319056901405
MWI,2020,0.23640702036497385,0.22803103565885585,0.07086071042380075
MWI,2021,0.0797588727805574,0.0797588727805574,0.0
MWI,2022,0.31947832929254727,0.31947832929254727,0.0
MYS,2009,0.25975677004887804,0.21181697110481798,0.3691129893171932
MYS,2010,0.433831643317498,0.364731867861439,0.3185557186546147
MYS,2011,0.43171383079400877,0.356012539645542,0.3507012550848177
MYS,2012,0.43305215791695756,0.35653177386753654,0.3534003128745273
MYS,2013,0.43668454437101445,0.3631459683818196,0.3368041160930818
MYS,2014,0.4379370425860414,0.3764069658348413,0.2809996450077013
MYS,2015,0.43635274332942453,0.37702619525866543,0.27192013332190973
MYS,2016,0.4395538804596979,0.37813253809365827,0.2794712780230876
MYS,2017,0.35595792304679147,0.3075634835110535,0.2719110119618067
MYS,2018,0.3013442417238608,0.26541158001251003,0.2384824843892517
MYS,2019,0.3510028012726308,0.3056572980926995,0.2583768734353235
MYS,2020,0.14446846242418054,0.12175025547466657,0.31450749275381623
MYS,2021,0.5826970504380702,0.5087162102703795,0.25392556942607497
MYS,2022,1.0,0.8970322664241718,0.20593546715165653
NAM,2009,0.4444374424016124,0.3958595587606039,0.21860392040106938
NAM,2010,0.1962460241559676,0.18266143804917495,0.13844444660948863
NAM,2011,0.4352123220368728,0.404050233512227,0.1432040728019903
NAM,2012,0.45129531967603803,0.4262205992642463,0.11112333462616704
NAM,2013,0.4540898107588672,0.4303988687385951,0.10434474176234063
NAM,2014,0.32164041635639756,0.3117567796710002,0.061457678716879315
NAM,2015,0.6485110201326946,0.6103606604078163,0.11765523958890353
NAM,2016,0.28516495339211445,0.2646317943445727,0.14400899411582158
NAM,2017,0.23818747921912137,0.21381272251796396,0.20466866504543477
NAM,2018,0.21524613987767025,0.19758743498869077,0.16407917836775465
NAM,2019,0.14862838507159898,0.1354073611585457,0.17790711924487765
NAM,2020,0.15974040866539566,0.140110788824292,0.24576899489748164
NAM,2021,0.6090586372883253,0.5429780794032254,0.21699243336998333
NAM,2022,1.0,0.9048160510252633,0.19036789794947345
NCL,2009,0.6749297697748752,0.6749297697748752,0.0
NCL,2010,0.6387984435517144,0.6387984435517144,0.0
NCL,2011,0.6500146297226536,0.6500146297226536,0.0
NCL,2012,0.6697242756700007,0.6697242756700007,0.0
NCL,2013,0.6773335935757394,0.6773335935757394,0.0
NCL,2014,0.6552237868852735,0.6552237868852735,0.0
NCL,2015,0.6619987162551636,0.6619987162551636,0.0
NCL,2016,0.6567252051736516,0.6567252051736516,0.0
NCL,2017,1.0,1.0,0.0
NCL,2018,0.749413360745319,0.749413360745319,0.0
NCL,2019,1.0,1.0,0.0
NCL,2020,1.0,1.0,0.0
NCL,2021,1.0,1.0,0.0
NCL,2022,1.0,1.0,0.0
NER,2009,0.628271224995931,0.628271224995931,0.0
NER,2010,0.599542823277624,0.599542823277624,0.0
NER,2011,0.5637476257223917,0.5637476257223917,0.0
NER,2012,0.5940376769482811,0.5940376769482811,0.0
NER,2013,0.5794046836032488,0.5794046836032488,0.0
NER,2014,0.5882341284488544,0.5882341284488544,0.0
NER,2015,0.5738933604208106,0.5738933604208106,0.0
NER,2016,0.37816102109490435,0.37816102109490435,0.0
NER,2017,0.34797595225987316,0.34797595225987316,0.0
NER,2018,0.3996261959866883,0.3996261959866883,0.0
NER,2019,0.5984385003614079,0.5984385003614079,0.0
NER,2020,0.4436202114779265,0.4436202114779265,0.0
NER,2021,0.5827135846219992,0.5827135846219992,0.0
NER,2022,1.0,1.0,0.0
NGA,2009,0.3378437685182289,0.2685022170018883,0.41049477881726365
NGA,2010,0.1885479195091442,0.16887366289872136,0.20869237551537873
NGA,2011,0.2306118829928673,0.21200747080182014,0.16134825274049375
NGA,2012,0.18173745588812576,0.15862661159642075,0.25433220883131136
NGA,2013,0.13459301477313124,0.11788350429794035,0.2482968451721851
NGA,2014,0.11029755167202245,0.1001884987048807,0.18330511990332704
NGA,2015,0.09209449679982327,0.08328408513390624,0.19133416158551494
NGA,2016,0.09760121064571488,0.08252542655450947,0.30892616990027677
NGA,2017,0.07240154726093281,0.05751365749836765,0.4112588839824016
NGA,2018,0.030986038952077632,0.026193400805774182,0.3093417750952709
NGA,2019,0.037906328447536754,0.03413088123910036,0.19919878094559892
NGA,2020,0.07080413184445077,0.0605938630892319,0.28840883968889697
NGA,2021,0.08966270968187419,0.07517657779145422,0.32312500797303956
NGA,2022,0.0,0.0,0.23358565761826797
NIC,2009,0.9575598777980624,0.8665064000672866,0.19017813891734056
NIC,2010,0.9914979866192024,0.9006291437434258,0.1832960714032715
NIC,2011,1.0,0.9249595095626688,0.15008098087466235
NIC,2012,1.0,0.9344377606185852,0.13112447876282968
